date,dte,pe_strike,ce_strike,entry_premium,exit_premium,exit_reason,pnl,entry_index,exit_index,entry_time,exit_time,stoploss_price,target_price,param_set_rank,filename,week_number,source_file
2025-06-25,1DTE,25150,25150,176.25,168.85,Time Exit,370.0000000000003,25154.5,25241.1,09:20:00,15:20:00,326.0625,44.0625,7,nifty_options_20250626.csv,26,detailed_trades_rank_7_20260202_180056.csv
2025-06-26,ODTE,25350,25350,129.0,201.85,Time Exit,-3642.5,25331.75,25552.8,09:20:00,15:20:00,238.65,32.25,7,nifty_options_20250626.csv,26,detailed_trades_rank_7_20260202_180056.csv
2025-06-27,4DTE,25600,25600,327.25,285.05,Time Exit,2109.9999999999995,25587.4,25642.3,09:20:00,15:20:00,605.4125,81.8125,7,nifty_options_20250703.csv,27,detailed_trades_rank_7_20260202_180056.csv
2025-06-30,3DTE,25650,25650,271.6,270.5,Time Exit,55.00000000000114,25636.15,25522.4,09:20:00,15:20:00,502.4600000000001,67.9,7,nifty_options_20250703.csv,27,detailed_trades_rank_7_20260202_180056.csv
2025-07-01,2DTE,25550,25550,241.5,179.45,Time Exit,3102.5000000000005,25556.7,25537.95,09:20:00,15:20:00,446.775,60.375,7,nifty_options_20250703.csv,27,detailed_trades_rank_7_20260202_180056.csv
2025-07-02,1DTE,25600,25600,155.1,197.35,Time Exit,-2112.5,25585.95,25445.7,09:20:00,15:20:00,286.935,38.775,7,nifty_options_20250703.csv,27,detailed_trades_rank_7_20260202_180056.csv
2025-07-03,ODTE,25450,25450,107.25,44.75,Time Exit,3125.0,25465.05,25398.65,09:20:00,15:20:00,198.4125,26.8125,7,nifty_options_20250703.csv,27,detailed_trades_rank_7_20260202_180056.csv
2025-07-04,4DTE,25400,25400,298.70000000000005,279.9,Time Exit,940.0000000000034,25414.6,25464.6,09:20:00,15:20:00,552.5950000000001,74.67500000000001,7,nifty_options_20250710.csv,28,detailed_trades_rank_7_20260202_180056.csv
2025-07-07,3DTE,25450,25450,243.9,233.7,Time Exit,510.00000000000085,25449.95,25463.0,09:20:00,15:20:00,451.215,60.975,7,nifty_options_20250710.csv,28,detailed_trades_rank_7_20260202_180056.csv
2025-07-08,2DTE,25500,25500,209.3,182.95,Time Exit,1317.5000000000011,25484.45,25520.6,09:20:00,15:20:00,387.205,52.325,7,nifty_options_20250710.csv,28,detailed_trades_rank_7_20260202_180056.csv
2025-07-09,1DTE,25500,25500,145.25,126.9,Time Exit,917.4999999999998,25487.45,25474.55,09:20:00,15:20:00,268.71250000000003,36.3125,7,nifty_options_20250710.csv,28,detailed_trades_rank_7_20260202_180056.csv
2025-07-10,ODTE,25450,25450,93.15,88.39999999999999,Time Exit,237.5000000000007,25453.7,25350.95,09:20:00,15:20:00,172.3275,23.2875,7,nifty_options_20250710.csv,28,detailed_trades_rank_7_20260202_180056.csv
2025-07-11,4DTE,25300,25300,255.25,264.95,Time Exit,-484.9999999999994,25300.1,25140.1,09:20:00,15:20:00,472.2125,63.8125,7,nifty_options_20250717.csv,29,detailed_trades_rank_7_20260202_180056.csv
2025-07-14,3DTE,25050,25050,233.9,217.05,Time Exit,842.4999999999983,25056.1,25087.0,09:20:00,15:20:00,432.715,58.475,7,nifty_options_20250717.csv,29,detailed_trades_rank_7_20260202_180056.csv
2025-07-15,2DTE,25150,25150,182.85,167.4,Time Exit,772.5000000000009,25147.75,25220.85,09:20:00,15:20:00,338.27250000000004,45.712500000000006,7,nifty_options_20250717.csv,29,detailed_trades_rank_7_20260202_180056.csv
2025-07-16,1DTE,25150,25150,134.6,118.65,Time Exit,797.4999999999994,25147.8,25195.9,09:20:00,15:20:00,249.01,33.65,7,nifty_options_20250717.csv,29,detailed_trades_rank_7_20260202_180056.csv
2025-07-17,ODTE,25200,25200,76.3,87.6,Time Exit,-564.9999999999999,25217.65,25109.2,09:20:00,15:20:00,141.155,19.075,7,nifty_options_20250717.csv,29,detailed_trades_rank_7_20260202_180056.csv
2025-07-18,4DTE,25100,25100,254.3,261.9,Time Exit,-379.9999999999997,25081.1,24974.95,09:20:00,15:20:00,470.455,63.575,7,nifty_options_20250724.csv,30,detailed_trades_rank_7_20260202_180056.csv
2025-07-21,3DTE,24950,24950,220.25,236.7,Time Exit,-822.4999999999994,24925.4,25098.95,09:20:00,15:20:00,407.4625,55.0625,7,nifty_options_20250724.csv,30,detailed_trades_rank_7_20260202_180056.csv
2025-07-22,2DTE,25150,25150,164.7,152.5,Time Exit,609.9999999999994,25139.55,25067.0,09:20:00,15:20:00,304.695,41.175,7,nifty_options_20250724.csv,30,detailed_trades_rank_7_20260202_180056.csv
2025-07-23,1DTE,25100,25100,128.2,154.35,Time Exit,-1307.5000000000002,25123.65,25221.45,09:20:00,15:20:00,237.17,32.05,7,nifty_options_20250724.csv,30,detailed_trades_rank_7_20260202_180056.csv
2025-07-24,ODTE,25200,25200,69.9,139.9,Stoploss,-3500.0,25200.0,25072.3,09:20:00,11:55:00,129.31500000000003,17.475,7,nifty_options_20250724.csv,30,detailed_trades_rank_7_20260202_180056.csv
2025-07-25,4DTE,24950,24950,249.05,259.6,Time Exit,-527.5000000000006,24932.85,24838.8,09:20:00,15:20:00,460.74250000000006,62.2625,7,nifty_options_20250731.csv,31,detailed_trades_rank_7_20260202_180056.csv
2025-07-28,3DTE,24800,24800,231.05,230.7,Time Exit,17.500000000001137,24782.7,24676.15,09:20:00,15:20:00,427.44250000000005,57.7625,7,nifty_options_20250731.csv,31,detailed_trades_rank_7_20260202_180056.csv
2025-07-29,2DTE,24650,24650,206.25,242.5,Time Exit,-1812.5,24663.65,24840.25,09:20:00,15:20:00,381.5625,51.5625,7,nifty_options_20250731.csv,31,detailed_trades_rank_7_20260202_180056.csv
2025-07-30,1DTE,24850,24850,145.2,119.9,Time Exit,1264.999999999999,24840.9,24846.05,09:20:00,15:20:00,268.62,36.3,7,nifty_options_20250731.csv,31,detailed_trades_rank_7_20260202_180056.csv
2025-07-31,ODTE,24700,24700,118.45,223.7,Stoploss,-5262.500000000001,24718.65,24910.5,09:20:00,13:15:00,219.1325,29.6125,7,nifty_options_20250731.csv,31,detailed_trades_rank_7_20260202_180056.csv
2025-08-01,4DTE,24700,24700,300.75,319.5,Time Exit,-937.5,24712.7,24560.5,09:20:00,15:20:00,556.3875,75.1875,7,nifty_options_20250807.csv,32,detailed_trades_rank_7_20260202_180056.csv
2025-08-04,3DTE,24650,24650,269.05,247.9,Time Exit,1057.5000000000018,24646.25,24730.25,09:20:00,15:20:00,497.74250000000006,67.2625,7,nifty_options_20250807.csv,32,detailed_trades_rank_7_20260202_180056.csv
2025-08-05,2DTE,24700,24700,212.9,186.0,Time Exit,1345.0000000000002,24680.05,24657.8,09:20:00,15:20:00,393.865,53.225,7,nifty_options_20250807.csv,32,detailed_trades_rank_7_20260202_180056.csv
2025-08-06,1DTE,24650,24650,180.10000000000002,154.55,Time Exit,1277.5000000000005,24662.55,24581.5,09:20:00,15:20:00,333.18500000000006,45.025000000000006,7,nifty_options_20250807.csv,32,detailed_trades_rank_7_20260202_180056.csv
2025-08-07,ODTE,24500,24500,96.8,96.8,Time Exit,0.0,24504.45,24629.25,09:20:00,15:20:00,179.08,24.2,7,nifty_options_20250807.csv,32,detailed_trades_rank_7_20260202_180056.csv
2025-08-08,4DTE,24550,24550,265.45,297.05,Time Exit,-1580.0000000000011,24561.0,24347.65,09:20:00,15:20:00,491.0825,66.3625,7,nifty_options_20250814.csv,33,detailed_trades_rank_7_20260202_180056.csv
2025-08-11,3DTE,24400,24400,247.25,261.45,Time Exit,-709.9999999999994,24408.9,24575.6,09:20:00,15:20:00,457.4125,61.8125,7,nifty_options_20250814.csv,33,detailed_trades_rank_7_20260202_180056.csv
2025-08-12,2DTE,24600,24600,188.85,176.6,Time Exit,612.5,24610.25,24493.8,09:20:00,15:20:00,349.3725,47.2125,7,nifty_options_20250814.csv,33,detailed_trades_rank_7_20260202_180056.csv
2025-08-13,1DTE,24550,24550,160.55,144.7,Time Exit,792.5000000000011,24561.9,24616.3,09:20:00,15:20:00,297.01750000000004,40.1375,7,nifty_options_20250814.csv,33,detailed_trades_rank_7_20260202_180056.csv
2025-08-14,ODTE,24650,24650,102.25,25.35,Profit Target,3845.000000000001,24636.2,24645.45,09:20:00,14:45:00,189.1625,25.5625,7,nifty_options_20250814.csv,33,detailed_trades_rank_7_20260202_180056.csv
2025-08-18,3DTE,24950,24950,268.25,215.5,Time Exit,2637.5,24942.2,24874.6,09:20:00,15:20:00,496.2625000000001,67.0625,7,nifty_options_20250821.csv,34,detailed_trades_rank_7_20260202_180056.csv
2025-08-19,2DTE,24950,24950,188.95,162.3,Time Exit,1332.4999999999989,24927.9,24992.8,09:20:00,15:20:00,349.5575,47.2375,7,nifty_options_20250821.csv,34,detailed_trades_rank_7_20260202_180056.csv
2025-08-20,1DTE,24950,24950,144.85,147.0,Time Exit,-107.50000000000028,24943.3,25047.95,09:20:00,15:20:00,267.9725,36.2125,7,nifty_options_20250821.csv,34,detailed_trades_rank_7_20260202_180056.csv
2025-08-21,ODTE,25050,25050,85.65,33.95,Time Exit,2585.0,25065.95,25078.85,09:20:00,15:20:00,158.4525,21.4125,7,nifty_options_20250821.csv,34,detailed_trades_rank_7_20260202_180056.csv
2025-08-22,4DTE,25000,25000,235.4,244.15,Time Exit,-437.5,24996.9,24866.0,09:20:00,15:20:00,435.49,58.85,7,nifty_options_20250828.csv,35,detailed_trades_rank_7_20260202_180056.csv
2025-08-25,3DTE,24950,24950,190.0,160.75,Time Exit,1462.5,24933.6,24974.6,09:20:00,15:20:00,351.5,47.5,7,nifty_options_20250828.csv,35,detailed_trades_rank_7_20260202_180056.csv
2025-08-26,2DTE,24800,24800,163.55,153.85,Time Exit,485.00000000000085,24806.05,24695.8,09:20:00,15:20:00,302.56750000000005,40.8875,7,nifty_options_20250828.csv,35,detailed_trades_rank_7_20260202_180056.csv
2025-08-28,ODTE,24500,24500,117.95,29.3,Profit Target,4432.5,24522.4,24523.0,09:20:00,14:55:00,218.2075,29.4875,7,nifty_options_20250828.csv,35,detailed_trades_rank_7_20260202_180056.csv
2025-08-28,3DTE,24500,24500,268.65,230.3,Time Exit,1917.4999999999984,24522.4,24512.25,09:20:00,15:20:00,497.0025,67.1625,7,nifty_options_20250902.csv,36,detailed_trades_rank_7_20260202_180056.csv
2025-08-29,2DTE,24550,24550,214.2,190.3,Time Exit,1194.9999999999989,24552.8,24411.95,09:20:00,15:20:00,396.27,53.55,7,nifty_options_20250902.csv,36,detailed_trades_rank_7_20260202_180056.csv
2025-09-01,1DTE,24550,24550,137.55,137.4,Time Exit,7.500000000000284,24529.15,24626.65,09:20:00,15:20:00,254.46750000000003,34.3875,7,nifty_options_20250902.csv,36,detailed_trades_rank_7_20260202_180056.csv
2025-09-02,ODTE,24650,24650,83.15,69.55,Time Exit,680.0000000000005,24641.2,24574.15,09:20:00,15:20:00,153.8275,20.7875,7,nifty_options_20250902.csv,36,detailed_trades_rank_7_20260202_180056.csv
2025-09-03,4DTE,24550,24550,257.1,284.5,Time Exit,-1369.9999999999989,24558.25,24720.6,09:20:00,15:20:00,475.6350000000001,64.275,7,nifty_options_20250909.csv,37,detailed_trades_rank_7_20260202_180056.csv
